RefDes,Layer,LocationX,LocationY,Rotation
34-R1,Top,12.937,9.075,180
34-R3,Bottom,13.325,8.087,180
34-R4,Bottom,12.900,8.087,180
34-R12,Bottom,12.906,9.075,0
34-R13,Bottom,12.575,8.550,90
34-SJ1,Top,12.588,8.381,90
34-SJ2,Bottom,13.150,8.087,180
34-SJ3,Bottom,12.700,8.075,180
34-U1,Top,12.700,8.463,90
34-U2,Top,13.100,8.575,0
34-U3,Top,12.725,8.950,270
35-C1,Bottom,13.350,2.187,180
35-C2,Bottom,13.350,2.000,0
35-F1,Top,13.325,1.912,0
35-F2,Bottom,13.650,1.950,0
35-F3,Top,13.050,2.200,0
35-F4,Bottom,13.050,2.200,0
35-LED1,Top,13.587,1.850,90
35-R1,Bottom,13.350,2.100,0
35-R2,Bottom,13.587,1.850,0
35-R8,Bottom,13.350,1.900,180
35-R9,Bottom,13.325,1.800,180
35-U2,Top,13.362,2.138,270
36-C1,Bottom,13.350,4.087,180
36-C2,Bottom,13.350,3.900,0
36-F1,Top,13.325,3.812,0
36-F2,Bottom,13.650,3.850,0
36-F3,Top,13.050,4.100,0
36-F4,Bottom,13.050,4.100,0
36-LED1,Top,13.587,3.750,90
36-R1,Bottom,13.350,4.000,0
36-R2,Bottom,13.587,3.750,0
36-R8,Bottom,13.350,3.800,180
36-R9,Bottom,13.325,3.700,180
36-U2,Top,13.362,4.038,270
